recipient,purpose,term,amount
Feeding America,To conduct a randomized controlled trial of a program designed to help food banks meet the needs of diabetic clients.,2015 - 2017,"$742,684"
Feeding America,To support the Collaborating for Clients initiative.,2015 - 2018,"$3,884,592"
Florida State University Research Foundation Inc.,To fund a low-cost randomized controlled trial of two treatment programs for prison inmates with substance use disorder who will soon be released from jail.,2018 - 2026,"$480,254"
"Foundation for Excellence in Education, Inc.",To help improve student achievement through the use of digital tools and develop policy best practices.,2013 - 2015,"$1,000,000"
Foundation for Healthy Generations,To support the Childhood Obesity Prevention Coalition of Washington.,2017 - 2018,"$61,767"
"Foundation for the National Institute of Health, Inc.",To fund the Coding for Cancer lung cancer screening challenges.,2015 - 2016,"$135,819"
"Friends Research Institute, Inc.",To support an ongoing randomized controlled trial of interim methadone to reduce recidivism and relapse among inmates in the Baltimore City's Detention Facilities.,2016 - 2020,"$564,431"
"Fund for the City of New York, Inc.",To analyze data-driven risk assessment models.,2017 - 2019,"$72,571"
"Fund for the City of New York, Inc.",To conduct research on alternatives to traditional sentences.,2017 - 2019,"$355,602"
"Fund for the City of New York, Inc.",To support the work of the Open Contracting Partnership.,2015 - 2018,"$1,300,000"
"George Mason University Foundation, Inc.",To provide general operating support.,2017 - 2019,"$400,000"
"George Mason University Foundation, Inc.",To support two symposia on public pension reform.,2013 - 2014,"$693,600"
"George Mason University Foundation, Inc.",To support symposia on public pension reform.,2015 - 2018,"$1,828,884"
"George Mason University Foundation, Inc.",To develop and disseminate policy options related to the negotiation of prescription drug prices by Medicare.,2018,"$37,475"
"George Mason University Foundation, Inc.",To produce a research agenda on police body-worn cameras.,2015 - 2016,"$165,684"
"George Mason University Foundation, Inc.",To conduct a randomized controlled trial on the effect of monetary contingency management vouchers for opioid use disorder treatment programs.,2017 - 2020,"$499,941"
"George Mason University Foundation, Inc.",To fund a judicial symposium on criminal justice reform.,2015 - 2016,"$346,800"
"George Mason University Foundation, Inc.",To identify policies and practices that will help law enforcement agencies increase clearance rates for serious crimes.,2015 - 2018,"$549,024"
"George Mason University Foundation, Inc.",To establish the Proactive Policing Lab to conduct research on proactive policing practices.,2016 - 2018,"$343,167"
"George Mason University Foundation, Inc.",To provide general operating support.,2017 - 2019,"$400,000"
Georgetown University,"To help the federal government structure, implement, and evaluate performance-based contracting models.",2014 - 2015,"$419,864"
Georgetown University,To fund a research study that will quantify the extent to which annual employer-funded pension earnings are inequitably deployed across teachers in schools within large urban districts in five states.,2016 - 2017,"$50,000"
Georgetown University,To conduct a comprehensive assessment of state laws and policies that act as barriers to evidence-based substance use disorder treatment and disseminate nonpartisan educational resources to key stakeholders.,2018 - 2021,"$625,314"
Georgetown University,"To support national reform of fines and fees practices  through nonpartisan training, support, and public education.",2018 - 2020,"$357,213"
Georgia Institute of Technology,To conduct research and develop tools in order to help patients and physicians make more informed decisions about organ transplants.,2017 - 2019,"$215,000"
"Georgia State University Research Foundation, Inc.",To help establish a policy lab in the state of Georgia.,2017 - 2020,"Up To                    $3,878,228"
"Georgia State University Research Foundation, Inc.","To conduct research and develop a prototype local tax expenditure budget for Fulton County, Georgia.",2017 - 2019,"$151,422"
"Georgia State University Research Foundation, Inc.",To evaluate the Job Tax Credit in the state of Georgia.,2017 - 2019,"Up To                    $150,652"
Government of the District of Columbia,To fund the creation of The Lab @ DC.,2016 - 2020,"$3,164,536"
Greater Houston Community Foundation,To improve K-12 public education.,2013 - 2015,"$1,700,000"
GreatSchools,To develop resources to educate parents about grade-level appropriate curriculum and help them select schools for their children.,2012 - 2015,"$4,000,000"
"Gynuity Health Projects, LLC",To develop and pilot a model to streamline access to long-acting contraceptive methods.,2018 - 2020,"$396,011"
Hawaii Department of Public Safety,"To pilot a pretrial supervision initiative modeled on the state of Hawaii's ""HOPE"" probation program.",2013 - 2016,"$685,657"
"Health Care Cost Institute, Inc.",To support the launch of the State Health Policy Grant Program.,2014 - 2016,"$1,461,562"
Healthy Food America,To evaluate policies that are intended to reduce the consumption of sugar and to educate the public about those policies that are found to be effective.,2016 - 2017,"$1,942,164"
Healthy Food America,To educate the public and community partners about policies to reduce sugar consumption and improve public health.,2017 - 2019,"Up To                    $750,000"
Henry J. Kaiser Family Foundation,To support Kaiser Health News in providing independent reporting on pharmaceutical drug development and pricing.,2017 - 2018,"$200,000"
Henry J. Kaiser Family Foundation,"To examine trends in prescription drug prices and Medicare Part D formulary coverage and broadly disseminate the findings policy briefs, papers, and convenings.",2018 - 2020,"$484,587"
Henry J. Kaiser Family Foundation,To support Kaiser Health News in providing independent reporting on pharmaceutical drug development and pricing.,2016 - 2018,"$1,060,500"
"Higher Learning Advocates, Inc.",To organize stakeholders who will serve as nonpartisan educational resources for policymakers and the public on higher education policy issues.,2017 - 2019,"$180,058"
Hire Heroes USA,"To provide operating support for service delivery in furtherance of a randomized controlled trial of the Independence Project, an intensive intervention for recently discharged, disabled young veterans.",2018 - 2023,"Up To                    $2,052,541"
Houston Food Bank,To develop and evaluate a food scholarship program for students.,2016 - 2018,"$199,283"
"Houston Forensic Science LGC, Inc.",To help improve the application of forensic science in laboratories nationwide.,2013 - 2014,"$75,000"
Houston Independent School District Foundation,"To provide vision screenings and eyeglasses for students in Houston, Texas.",2012 - 2013,"$100,000"
Houston Independent School District Foundation,To help support the Houston Independent School District's legal costs in the matter of Houston Federation of Teachers v. Houston Independent School District.,2014 - 2015,"$312,626"
Human Rights Defense Center,To engage in a campaign to reform financially exploitative correctional policies.,2018 - 2021,"$529,160"
"Ibis Reproductive Health, Inc.",To provide Grantee operating support to make an oral contraceptive available over the counter.,2018 - 2021,"$2,000,000"
IDEA Public Schools,To help establish the Rio Grande Center for Teaching and Leading Excellence.,2011 - 2013,"$250,000"
Illinois Public Health Institute,"To support efforts to implement the recently enacted sugar-sweetened beverage tax in Cook County, Illinois.",2017,"$54,858"
"IMPAQ International, LLC",To fund a randomized controlled trial of a program for new unemployment insurance claimants in Nevada.,2018 - 2021,"$226,792"
Indiana University,To create a model forensics lab report.,2013 - 2015,"$9,366"
"Indianapolis Public Schools Education Foundation, Inc.","To expand and replicate high-quality schools in Indianapolis, Indiana.",2016 - 2018,"$1,205,500"
"Initiative for Medicines, Access, & Knowledge, Inc.",To produce a report that will outline strategies to address pharmaceutical patents and pricing structures.,2016,"$209,500"
"Initiative for Medicines, Access, & Knowledge, Inc.",To support efforts to provide patients with affordable access to life-saving medications and improve public health.,2017 - 2019,"$3,958,828"
"Innocence Project, Inc.",To provide general operating support.,2011 - 2012,"$200,000"
"Innocence Project, Inc.",To support the creation of the grantee's Strategic Litigation Unit.,2012 - 2015,"$600,000"
"Innocence Project, Inc.",To provide operating support for the grantee's Strategic Litigation Unit.,2016 - 2018,"$400,000"
"Innosight Institute, Inc.","To support the Digital Learning, Digital Teaching seminar.",2012,"$10,000"
"Innosight Institute, Inc.",To support digital learning in K-12 education.,2011 - 2012,"$264,075"
"Institute for Behavior and Health, Inc.","To help ensure that replications of the state of Hawaii's ""HOPE"" probation program are developed and executed with fidelity to the original model.",2014 - 2016,"$187,151"
"Institute for Child Success, Inc.",To educate stakeholders about the importance of rigorously evaluating Pay for Success projects.,2016,"$66,644"
"Institute for College Access and Success, Inc.","To provide policy analysis, public education, and coalition-building regarding higher education quality and accountability at the federal level and in California.",2018 - 2021,"Up To                    $2,154,124"
Institute for Fiscal Studies,To analyze the impact of the United Kingdom's automatic pension enrollment program.,2017 - 2019,"$97,857"
Institute for Justice,"To examine whether, and to what extent, citations are used to generate revenue for municipal governments.",2016 - 2019,"$559,705"
"International Association of Chiefs of Police, Inc.",To support the 2014 Excellence in Law Enforcement Research Awards Program.,2014,"$20,000"
"International Association of Chiefs of Police, Inc.",To conduct research on law enforcement's use of citations in lieu of arrest.,2014 - 2016,"$311,974"
"International Association of Chiefs of Police, Inc.",To help establish a center focused on police research and policy.,2015 - 2020,"$1,333,268"
"International Association of Chiefs of Police, Inc.",To develop a blueprint to guide state and local law enforcement in the implementation of recommendations made by the President's Task Force on 21st Century Policing.,2016 - 2017,"$215,995"
Internet Archive,To develop a robust search engine for the world's largest repository of internet content.,2015 - 2017,"$1,930,487"
Investigative News Network,To improve the transparency of public institutions and state governments through investigative reporting.,2014 - 2015,"$28,600"
Iowa City,"To support implementation of the Data-Driven Justice project in Iowa City, Iowa.",2017 - 2020,"Up To                    $350,506"
Iowa State University of Science and Technology,To fund a randomized controlled trial of the Promoting School-community-university Partnerships to Enhance Resilience program.,2017 - 2022,"$1,500,000"
Iowa State University of Science and Technology,To conduct research designed to improve understanding of eyewitness decision making.,2016 - 2020,"$382,434"
James Madison Institute,To support educational efforts related to public employee benefits reform in the state of Florida.,2011,"$186,500"
James Madison Institute,To support educational efforts related to public employee benefits reform in the state of Florida.,2011 - 2012,"$79,000"
Johns Hopkins University,To develop and disseminate a standardized data structure for National Institute on Drug Abuse Treatment Clinical Trials Network data.,2018 - 2020,"$500,000"
Johns Hopkins University,To evaluate a family planning program administered in the Baltimore City Booking and Intake Center.,2018 - 2021,"$315,697"
Johns Hopkins University,To support efforts to increase the number of organ transplants and reduce the number of individuals on the waiting list.,2016 - 2018,"$154,524"
Johns Hopkins University,To promote the adoption of a waste-free prescription drug formulary by private corporations in place of the current drug rebate system.,2018 - 2021,"$940,607"
Johns Hopkins University,To conduct research and develop recommendations to improve the United States Department of Health and Human Services Organ Procurement and Transplantation Network system.,2018 - 2019,"$251,225"
Johns Hopkins University,To provide nonpartisan policy recommendations and technical support to interested states related to reducing health care prices.,2018 - 2021,"$841,754"
Johns Hopkins University,To increase the availability and affordability of life-saving drugs while maintaining incentives for innovation in drug development.,2015 - 2017,"$318,000"
Johns Hopkins University,To develop research on policy options that maximize access to and affordability of prescription drugs.,2016 - 2019,"$3,586,034"
Johns Hopkins University,To conduct a randomized controlled trial on impacts of school-based vision care services in Chicago Public Schools.,2017 - 2020,"$397,721"
Johns Hopkins University,To fund a randomized controlled trial of the Talent Development Secondary Diplomas Now program.,2015 - 2018,"$3,693,484"
Johns Hopkins University,To conduct observational research and planning that will inform the research design for the My Brother's Keeper School Success Mentor and Student Support Initiative.,2016 - 2017,"$128,597"
Johns Hopkins University,To support efforts to improve transparency at the Food and Drug Administration.,2016 - 2018,"$157,560"
Johns Hopkins University,To provide general operating support for the Center for Research and Reform in Education.,2016 - 2018,"$302,625"
Johns Hopkins University,To support the development of a tool that rates the transparency of evidence-based programs and social intervention evaluations.,2017 - 2019,"$388,053"
Johns Hopkins University,To study the impact of the Affordable Care Act on public safety.,2014 - 2015,"$218,170"
Johns Hopkins University,To fund a study to estimate the impacts of school-based vision services in Baltimore City Public Schools.,2016 - 2019,"$449,889"
Johns Hopkins University,To fund a study to estimate the impacts of school-based vision services in Baltimore City Public Schools.,2016 - 2019,"$449,889"
Johns Hopkins University,To fund a randomized controlled trial of the My Brother's Keeper Success Mentors and Student Support Initiative.,2016 - 2022,"$1,372,005"
Johnson County Public Health,To support an epidemiologist to work in collaboration with Johnson County's and Iowa City's DDJ project.,2018 - 2019,"$10,000"
Johnson County Sheriff's Office,"To support implementation of the Data-Driven Justice project in Johnson County, Iowa.",2017 - 2020,"Up To                    $42,736"
"Justice Education Center, Inc.",To support a national symposium focused on eyewitness identification reform.,2015 - 2016,"$65,000"
Justice System Partners,To analyze five new sites that plan to implement the Public Safety Assessment.,2016,"$75,000"
Justice System Partners,To support the implementation of the Public Safety Assessment.,2014 - 2016,"$1,337,430"
Justice System Partners,To develop and test a web-based tool that can help ensure that jails are managed in a fair and efficient way.,2016,"$250,000"
Juvenile Law Center,To evaluate the impact of fines and fees on youth involved in the juvenile justice system.,2015 - 2017,"$232,800"
Juvenile Law Center,To educate the public about the issue of fines and fees in the juvenile justice system.,2016,"$15,000"
Juvenile Law Center,To support reforms related to the use of fines and fees in the juvenile justice system.,2017 - 2020,"$1,331,271"
"Kaggle, Inc.",To support the Data Science Bowl.,2016 - 2017,"$1,000,000"
Kaiser Foundation Health Plan of Washington,To evaluate a program designed to improve the value of pharmaceutical care.,2018 - 2021,"$503,919"
Kansas Policy Institute,To conduct research about the pension benefit structure for public employees in the state of Kansas.,2011,"$10,000"
KIPP Foundation,To help scale the grantee's effective school leadership development model.,2011 - 2015,"$1,000,000"
KIPP Foundation,To provide general operating support.,2015 - 2018,"$8,000,000"
"Kitamba, Inc.","To support the Texas Education Agency's System of Great Schools Network, a program for districts interested in the portfolio model of school governance.",2017 - 2018,"$92,000"
Lawyers' Committee for Civil Rights of the San Francisco Bay Area,To document municipal infraction enforcement and the debt burden it produces in six California counties.,2018 - 2020,"$160,000"
Lawyers' Committee for Civil Rights Under Law,To help reduce the incarceration of indigent defendants in Arkansas and Oklahoma who are detained solely because they are unable to pay court-imposed fines and fees.,2017 - 2020,"$1,345,160"
"Leading Educators, Inc.","To help develop high-quality teachers and school leaders in New Orleans, Louisiana.",2012 - 2014,"$505,000"
"Leading Educators, Inc.","To help develop high-quality teachers and school leaders in New Orleans, Louisiana.",2014 - 2017,"$450,000"
"Legal Action Center of the City of New York, Inc.","To conduct research into the prevalence and costs of specific limitations on substance use disorder treatment services and evidence of violations of the Mental Health Parity and Addiction Equity Act and create nonpartisan, educational resources to support greater enforcement of the Parity Act.",2018 - 2020,"$600,000"
Legal Aid Justice Center,To support strategic litigation and educational efforts related to driver's license suspensions for outstanding legal financial obligations in Virginia.,2017 - 2018,"$70,000"
"Living Cities, Inc.","To host a convening to educate policymakers, university researchers, and other stakeholders about the policy lab model.",2016,"$199,372"
Long-Term Quality Alliance,"To study how health care coverage and the integration of long-term services and supports impact medical spending, health outcomes, and quality of life for people with functional limitations.",2016 - 2019,"Up To                    $595,503"
Loughborough University,To study eyewitness identification.,2016 - 2017,"$125,736"
Louisiana Association of Public Charter Schools,To promote high-quality school options in the state of Louisiana.,2012 - 2013,"$900,000"
Louisiana Association of Public Charter Schools,To promote high-quality school options in the state of Louisiana.,2014 - 2015,"$250,000"
Louisiana Public Defender Board,To analyze the workloads of the state of Louisiana's public defenders to determine how those workloads impact legal representation.,2015 - 2017,"$119,551"
Louisiana Public Defender Board,"To develop an equitable, transparent, and replicable formula to distribute annual state appropriations.",2017,"$14,410"
Louisville Jefferson County Metro Government and Office of the Commonwealth's Attorney,To help reduce the amount of time it takes to process felony cases.,2014 - 2017,"$339,750"
Major Cities Chiefs Association,To convene a national meeting to discuss the President's Task Force on 21st Century Policing.,2015 - 2016,"$43,146"
"Manatt, Phelps and Phillips, LLP",To draft a report that analyzes the implications of a Medicaid buy-in option in the State of New Mexico.,2018 - 2019,"$580,000"
"Manatt, Phelps and Phillips, LLP","To provide nonpartisan policy recommendations and technical assistance to the New Jersey Department of Human Services to improve access to family planning services in the State of New Jersey, and create and broadly disseminating a toolkit for other states.",2018 - 2019,"$465,036"
"Manhattan Institute for Policy Research, Inc.",To publish a report about the defined contribution retirement systems used by the State University of New York and the City University of New York.,2011 - 2012,"$37,162"
"Manhattan Institute for Policy Research, Inc.",To study teacher compensation structures in the 10 largest U.S. school districts.,2012 - 2013,"$30,250"
"Manhattan Institute for Policy Research, Inc.",To develop an index that measures and ranks public schools in the United States by effectiveness.,2013 - 2014,"$118,800"
"Manhattan Institute for Policy Research, Inc.",To develop and promote an index that measures and ranks public schools in the United States by effectiveness.,2014 - 2015,"$473,648"
"Manhattan Institute for Policy Research, Inc.",To help enhance SchoolGrades.org.,2016 - 2019,"$200,000"
MapLight,To compile lobbying records and public officials' financial disclosure data to increase transparency in government.,2013 - 2015,"$508,905"
MapLight,To provide general operating support.,2015 - 2017,"$500,000"
"Maryland Citizens Health Initiative Education Fund, Inc.","To educate the public about a recently enacted law that prohibits price gouging in the sale of essential generic medications, along with other efforts states can take to impact rising drug costs.",2017 - 2018,"$400,000"
"Maryland Public Policy Institute, Inc.",To support educational efforts related to Maryland's public pension system.,2016 - 2018,"$75,000"
Massachusetts Institute of Technology,"To develop an econometric model and produce a feasibility report for evaluating schools in New Orleans, Louisiana.",2013 - 2014,"$71,524"
Massachusetts Institute of Technology,"To analyze the effects of affirmative action policies in public high schools in Chicago, Illinois, and Boston, Massachusetts.",2014 - 2017,"$393,962"
Massachusetts Institute of Technology,To support Abdul Latif Jameel Poverty Action Lab's project to register and publish existing randomized controlled trials and train researchers on best practices in research transparency.,2016 - 2019,"$486,000"
Massachusetts Institute of Technology,To support a randomized controlled trial on Clinical Decision Support systems intended to reduce the amount of unnecessary imaging in health care.,2015 - 2022,"$1,481,294"
Massachusetts Institute of Technology,To conduct a study evaluating whether data from unified enrollment systems can be used to rigorously measure school quality.,2018 - 2021,"$1,941,622"
Massachusetts Institute of Technology,"To analyze the effects of affirmative action policies in public high schools in Chicago, Illinois, and Boston, Massachusetts.",2014 - 2017,"$393,962"
Massachusetts Institute of Technology,To support Abdul Latif Jameel Poverty Action Lab's project to register and publish existing randomized controlled trials and train researchers on best practices in research transparency.,2016 - 2019,"$486,000"
Massachusetts Institute of Technology,To support a randomized controlled trial on Clinical Decision Support systems intended to reduce the amount of unnecessary imaging in health care.,2015 - 2022,"$1,481,294"
"Mathematica Policy Research, Inc.","To evaluate the impact of education reforms in Washington, D.C. on student outcomes.",2018 - 2019,"$310,875"
"Mathematica Policy Research, Inc.",To fund a randomized controlled trial of the Bronx Freedom Fund.,2016 - 2017,"$137,109"
"Mathematica Policy Research, Inc.",To extend a long-term follow-up of a randomized controlled trial evaluation of KIPP charter middle schools.,2018 - 2019,"$196,812"
"Mathematica Policy Research, Inc.",To evaluate the impacts of the KIPP prekindergarten program and whether those impacts persist over time in elementary-aged children.,2016 - 2017,"$682,132"
"Mathematica Policy Research, Inc.",To identify and assess municipal wastewater testing methods that can be used to monitor community levels of illicit drug use.,2017,"$170,000"
MDRC,To support the Improving Contraceptive Options Now research project.,2015 - 2017,"$1,500,000"
MDRC,"To enable new cross-study analyses in order to inform the design and implementation of higher education policies and programs, by creating individual participant-level and study-level databases including data from past randomized controlled trials.",2018 - 2020,"$253,696"
MDRC,To launch Phase I of the Scaling Up Community College Efforts for Student Success (SUCCESS) project to pilot and evaluate lower-cost student success interventions to improve such outcomes as completion and time-to-degree.,2018 - 2022,"$3,585,932"
MDRC,"To advance evidence-based policies that offer concrete, measurable, and lasting improvements to society.",2013 - 2022,"$15,000,000"
MDRC,To research policy questions about early childhood education and conduct an assessment of existing and proposed programs at the state and local level.,2014 - 2015,"$294,209"
MDRC,To support the Expanding Children's Early Learning Project.,2015 - 2017,"$1,804,132"
MDRC,To support an ongoing randomized controlled trial of the Accelerated Study in Associate Programs model and its implementation at three community colleges in Ohio.,2016 - 2020,"$275,000"
MDRC,To fund a replication randomized controlled trial of the City University of New York's Accelerated Study in Associate Programs at Westchester Community College.,2016 - 2024,"$533,688"
MDRC,To assess the predictive validity of the Public Safety Assessment.,2017 - 2019,"$88,869"
MDRC,"To study the impacts of preschool, summer curricula, and enhanced teacher training on early childhood learning.",2016 - 2024,"Up To                    $20,000,000"
MDRC,To conduct research on Social Security Disability Insurance.,2015 - 2016,"$250,000"
MDRC,To evaluate the Public Safety Assessment.,2017 - 2019,"$888,812"
MDRC,To support a randomized controlled trial of Career Academies in California high schools.,2017 - 2030,"$2,943,916"
MDRC,To evaluate the Housing First with Shared Medical Appointment model in three jurisdictions.,2018 - 2020,"$650,637"
MDRC,"To evaluate the impact of Child First, a home visiting program for low-income families with young children at high risk of emotional, behavioral, or developmental problems and/or maltreatment.",2018 - 2025,"$2,499,968"
"Measured Decisions, Inc.",To fund a replication randomized controlled trial of an intervention designed to improve academic achievement and help students successfully transition to middle school.,2016 - 2020,"$216,950"
"Measured Decisions, Inc.","To support a randomized controlled trial of Bernie's Book Bank, a program that provides free, high-quality books to low-income elementary-aged children in greater Chicago, Illinois.",2017 - 2021,"$235,513"
"Measured Decisions, Inc.","To fund a randomized controlled trial of Read for Success, a program designed to improve reading achievement for elementary school students.",2018 - 2022,"$287,550"
Measures for Justice Institute,To improve develop an online tool that can be used to evaluate the criminal justice process on a county-by-county basis.,2016 - 2019,"$2,084,725"
Measures for Justice Institute,To support the nonpartisan implementation of a recently-enacted Florida law.,2018 - 2020,"$1,180,073"
Medicines360,To examine key factors that impact the availability of long acting reversible contraceptive methods at Federally Qualified Health Centers and disseminating key findings.,2018 - 2019,"$300,000"
Memorial Sloan-Kettering Cancer Center,To build a program that communicates evidence-based methodologies for drug pricing and payment.,2015 - 2019,"$4,394,354"
"Mental Health Services for Homeless Persons, Inc.",To help advance Pay for Success Financing.,2014 - 2016,"$780,513"
"Mercatus Center, Inc.",To develop an actuarial model that measures state public pension liabilities and future costs of paying promised benefits.,2017 - 2020,"$519,142"
Michigan State University,To support the Michigan Policy Innovation Lab.,2016 - 2020,"Up To                    $1,907,061"
Michigan State University,To support studies that evaluate the impact of state and local policy reforms on teachers' unions.,2017 - 2018,"$98,806"
Missouri Public Charter School Association,To educate the public about St. Louis Public School Retirement System.,2018,"$9,000"
"MuckRock Foundation, Inc.","To build a web portal that outlines public records laws for all 50 states and commonly cited exemptions to the Freedom of Information Act (FOIA), and to create a guide that can help the public navigate the process for submitting a request under FOIA.",2016 - 2018,"$163,000"
National Academy of Sciences,To host a workshop examining the role of the National Institutes of Health in prescription drug innovation in order increase patient access to products derived in part from federal research.,2018 - 2020,"$254,960"
National Academy of Sciences,To support the Committee on Law and Justice.,2017 - 2019,"$303,738"
National Academy of Sciences,"To support the efforts of the Collaborative on Countering the U.S. Opioid Epidemic to increase coordination between the government, private sector, and nonprofit stakeholders..",2018 - 2021,"$200,000"
National Academy of Sciences,To support a meeting to develop a study on donor intervention research.,2015 - 2016,"$20,633"
National Academy of Sciences,To support the creation of an Institute of Medicine committee that will examine issues associated with research involving deceased organ donors.,2015 - 2018,"$316,933"
National Academy of Sciences,To improve economic research that relies on statistics collected by the federal government.,2015 - 2018,"$828,349"
National Academy of Sciences,To study the challenges of implementing open science in various disciplines and provide recommendations for how to address them.,2017 - 2018,"$692,000"
National Academy of Sciences,To support the creation of a roundtable group focused on facilitating discussions of ways to promote open science practices.,2018 - 2019,"$100,000"
National Academy of Sciences,To help improve eyewitness identification procedures.,2013 - 2015,"$384,403"
National Academy of Sciences,To help improve eyewitness identification procedures.,2015 - 2016,"$113,976"
National Academy of Sciences,To support an Institute of Medicine research project that will study patient access to effective and affordable therapies.,2016 - 2018,"$749,161"
National Academy of Sciences,To convene a committee to study proactive policing practices.,2015 - 2017,"$538,316"
National Alliance for Model State Drug Laws,"To develop and disseminate nonpartisan, resources on the issue of predatory and unethical substance use disorder treatment practices and work with key stakeholders and community partners to support state-level policy proposals.",2018 - 2019,"$110,082"
National Alliance for Public Charter Schools,To conduct research and raise awareness about pension plans for teachers in charter schools.,2016 - 2018,"$200,000"
National Alliance for Public Charter Schools,To improve K-12 public education.,2013 - 2015,"$1,000,000"
"National Association for Public Defense, Inc.",To disseminate the findings of a study analyzing the workloads of Louisiana's public defenders and to pursue Sixth Amendment litigation.,2016 - 2021,"Up To                    $239,508"
National Association of Counties Research Foundation,To educate county leaders on how to use data and analytics to improve public safety.,2017 - 2018,"$125,000"
National Association of Counties Research Foundation,To support the continuation and expansion of the Data-Driven Justice project.,2018 - 2019,"$250,000"
"National Bureau of Economic Research, Inc.",To support the creation of an economic research consortium that will study the U.S. health care system and produce tools to improve efficiency and promote best practices.,2016 - 2020,"$475,000"
National Campaign to Prevent Teen and Unplanned Pregnancy,To produce a detailed evaluation and implementation plan for an educational information campaign to increase knowledge about contraceptive methods.,2018 - 2019,"$210,452"
National Campaign to Prevent Teen and Unplanned Pregnancy,"To create and disseminate tools to estimate how much taxpayers spend at the local, state, and national level in relation to teen childbearing.",2016 - 2018,"$165,661"
"National Center for Civic Innovation, Inc.",To help criminal justice agencies more effectively share data.,2015 - 2017,"$1,038,813"
National Center for Law and Economic Justice,To support strategic litigation to stop states from depriving individuals of driver's licenses because they are too poor to pay fines and fees.,2018 - 2021,"$500,000"
National Center for Research in Advanced Information and Digital Technologies,To develop a tool that will provide information about blended learning and other education technologies.,2013 - 2014,"$130,000"
National Center for State Courts,To help reduce the amount of time it takes to process criminal cases.,2015 - 2019,"$1,519,822"
National Center for Youth Law,"To build the capacity of state, local, and national organizations to reform juvenile fines and fees practices.",2018 - 2020,"$780,000"
National Collaborative on Gun Violence Research Fund - Donor Advised Fund,To conduct research on gun policy and develop tools to support public education and discourse.,2018,"$5,000"
National Conference of State Legislatures,To update a database of existing laws pertaining to forensic evidence.,2013 - 2014,"$123,656"
National Conference of State Legislatures,To update a database of existing laws and pending legislation on pretrial issues.,2014 - 2015,"$78,210"
National Conference of State Legislatures,To track and summarize state legislation related to pretrial justice and police body-worn cameras.,2015 - 2016,"$111,400"
National Conference of State Legislatures,To update and disseminate databases of legislation related to the pretrial process and body-worn cameras.,2017 - 2018,"$190,617"
National Conference of State Legislatures,"To develop a collaborative, nonpartisan forum for policymakers to communicate about structural electoral reforms.",2016 - 2017,"$55,916"
National Conference of State Legislatures,To provide stakeholders with educational resources to support evidence-based decision making related to prescription drug pricing.,2017 - 2019,"$264,427"
National Conference of State Legislatures,To provide stakeholders with educational resources to support evidence-based decision making related to higher education policy.,2017 - 2020,"$298,839"
National Conference of State Legislatures,To create a database of existing laws and pending legislation on pretrial issues.,2012 - 2013,"$132,520"
National Council on Crime and Delinquency,To establish a data-sharing platform that will help identify youth at risk of becoming involved in the juvenile justice system.,2015 - 2020,"Up To                    $331,133"
"National Council on Teacher Quality, Inc.",To support a meeting focused on the fiscal stability of teacher retirement systems.,2013 - 2014,"$20,000"
"National Council on Teacher Quality, Inc.",To provide state-by-state analyses of teacher retirement systems and study improvements related to financial stability.,2013 - 2015,"$90,000"
"National Council on Teacher Quality, Inc.",To support efforts to assess and improve teacher retirement systems.,2014 - 2016,"$152,520"
"National Council on Teacher Quality, Inc.",To provide information about teachers' pension systems.,2015 - 2017,"$206,000"
"National Council on Teacher Quality, Inc.",To help develop high-quality teachers in the United States.,2011 - 2012,"$200,000"
"National Council on Teacher Quality, Inc.",To help develop high-quality teachers in the United States.,2013 - 2014,"$375,000"
"National Council on Teacher Quality, Inc.",To help improve teacher training programs.,2015 - 2017,"$750,000"
National Criminal Justice Association,To provide strategic planning assistance to states that use federal funding to implement evidence-based criminal justice reforms.,2016 - 2018,"$1,202,985"
National Governors Association Center for Best Practices,To provide strategic planning assistance to states that use federal funding to implement evidence-based criminal justice reforms.,2016 - 2019,"$1,249,047"
National Governors Association Center for Best Practices,To identify best practices in evidence-based policymaking and educate state leaders about such practices.,2014 - 2017,"$560,929"
National Governors Association Center for Best Practices,To convene national experts to discuss the rising cost of prescription drugs and potential policy solutions.,2017 - 2018,"$200,000"
National Governors Association Center for Best Practices,"To convene national experts, key stakeholders, and state policymakers to discuss strategies for states to improve consumer protections related to out-of-network billing.",2018 - 2019,"$145,367"
National Governors Association Center for Best Practices,To convene state leaders and national experts to discuss promising solutions for integrating care and managing costs for dual-eligible Medicare and Medicaid populations.,2018 - 2019,"$135,127"
National Juvenile Defender Center,To reduce the use of monetary bail and pretrial detention for juvenile defendants.,2018 - 2020,"$650,804"
National Juvenile Defender Center,To develop standardized protocols and judicial trainings that support nonpartisan reform of juvenile fines and fees.,2018 - 2020,"$889,046"
"National League of Cities Institute, Inc.",To conduct a landscape review of emergency response and crisis stabilization approaches used by cities and local communities.,2018 - 2019,"$245,224"
National Opinion Research Center,To conduct an independent review of reports produced by the Center for Medicare & Medicaid Innovation in order to identify best practices for alternative medical payment and service delivery models.,2016 - 2018,"$233,640"
National Skills Coalition,To support the Workforce Data Quality Campaign.,2015 - 2017,"$298,000"
National Skills Coalition,To support the Workforce Data Quality Campaign.,2017 - 2018,"$250,000"
National Skills Coalition,To provide technical assistance and public education to improve the availability of workforce data to assess and improve higher education and workforce programs.,2018 - 2019,"$210,085"
